Entity,Code,Year,total_corporate_investment_by_activity
Merger/Acquisition,,2013,431603840
Merger/Acquisition,,2014,205587735
Merger/Acquisition,,2015,1819616027
Merger/Acquisition,,2016,2749005682
Merger/Acquisition,,2017,22493500309
Merger/Acquisition,,2018,4338141243
Merger/Acquisition,,2019,20417268957
Merger/Acquisition,,2020,21532879497
Merger/Acquisition,,2021,72029082206
Minority Stake,,2013,1399495070
Minority Stake,,2014,267832859
Minority Stake,,2015,3418211961
Minority Stake,,2016,1178806523
Minority Stake,,2017,1190033337
Minority Stake,,2018,1087034099
Minority Stake,,2019,2035130940
Minority Stake,,2020,44061387953
Minority Stake,,2021,1325140764
Private Investment,,2013,2736516936
Private Investment,,2014,5920354774
Private Investment,,2015,8980714017
Private Investment,,2016,15730530245
Private Investment,,2017,23092889664
Private Investment,,2018,35256252550
Private Investment,,2019,42572633211
Private Investment,,2020,46002661475
Private Investment,,2021,93535757202
Public Offering,,2013,661113719
Public Offering,,2014,22779081199
Public Offering,,2015,766506701
Public Offering,,2016,170743904
Public Offering,,2017,557269302
Public Offering,,2018,4893601916
Public Offering,,2019,1955701075
Public Offering,,2020,7940692135
Public Offering,,2021,9576755629