Entity,Code,Year,bsl4_facilities
Argentina,ARG,2022,1
Australia,AUS,2022,3
Belarus,BLR,2022,1
Brazil,BRA,2022,1
Canada,CAN,2022,1
China,CHN,2022,2
Czechia,CZE,2022,1
France,FRA,2022,3
Gabon,GAB,2022,1
Germany,DEU,2022,4
Hungary,HUN,2022,2
India,IND,2022,3
Italy,ITA,2022,2
Japan,JPN,2022,2
Philippines,PHL,2022,1
Russia,RUS,2022,2
Singapore,SGP,2022,1
South Africa,ZAF,2022,1
South Korea,KOR,2022,1
Sweden,SWE,2022,1
Switzerland,CHE,2022,3
Taiwan,TWN,2022,2
United Kingdom,GBR,2022,9
United States,USA,2022,14